127.0.0.1 - - [31/Oct/2024:12:40:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:40:55 +0900] "GET /myapp/index.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:40:55 +0900] "GET /myapp/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:40:55 +0900] "GET /myapp/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:40:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:37 +0900] "GET /myapp/index.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:37 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:37 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:38 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:49 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:52 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:52 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:46:52 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:03 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:03 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:04 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:04 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:05 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:05 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:05 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:05 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:05 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:13 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:13 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:19 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:20 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:47:21 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:52:44 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:52:45 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:52:46 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:57:07 +0900] "GET /myapp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:58:22 +0900] "GET /myapp/index.html HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [31/Oct/2024:12:58:28 +0900] "GET /myapp/index.html? HTTP/1.1" 200 1890
