127.0.0.1 - - [01/Dec/2024:00:02:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:52 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:52 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:52 +0900] "GET /myapp/term_jsp/index.jsp?refreshed=true HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:52 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/index.jsp?refreshed=true HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/css/main2.css HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/main_banner1.svg HTTP/1.1" 200 187870
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/category.svg HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/upload/10000.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [01/Dec/2024:00:02:53 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
